,mean,std
Tmax,16.597149805068334,12.816972128493578
Tmin,6.377075941606734,11.020133939200521
Humid,71.87875287297248,13.217144683266147
P,2.5091272506844944,6.85691654498647
NSR,15.16821351254802,7.363007279503171
WS,4.342381291986436,1.681934460857321
Growseason,0.6357059118050741,0.7565042788447103
GrowseasonCC,0.7830224443689981,0.8312124470868475
Crop,1.376177843837248,0.4844255088692306
Mixrate,3.3677114191911808,3.1708205923205908
N_rate,9.210993983172202,9.867068482594112
Harvest,0.002737549233362207,0.05224992878040388
PH,6.483962319519246,0.5880847827144167
BD,1.5354324174238891,0.12649484372317113
Sand,197.40500586244468,191.98516347797826
Silt,530.9542862089206,163.10999251267074
FC,0.30189997668403307,0.0455328368673106
WP,0.1760597074888558,0.048076736321224126
Ks,31.90503651545984,48.70959096558929
gSOC,16.841512855509702,21.691049837118044
Surf_res,231.00600764953543,172.45683180619793
Soil_res,316.70527191284765,128.45159565011016
Yld,50.5784011425344,129.00028599727958
TSOC,21.85505136902911,17.291530122992423
DVS,0.25766423958653245,0.3491782668058183
ET,1.8836071836963617,1.7928504620842918
GPP,4.791235622130669,7.655255400619371
SWC,0.24608296527464135,0.08059255582561556
Biomass,160.45185584670946,273.46525384798707
Reco,3.848783720519664,4.078868575033412
NEE,-0.9424519016110258,4.4398990838958525
LAI,1.1901668695465395,1.7420043533146448
Yld,50.5784011425344,129.00028599727958
